,,,,,,,,,,,,,,,,,,,,,Move mark #1,,,,,,,Move mark #2,,,,,,,Move mark #3,,,,,,,,Move mark #4,,,,,,,,Move mark #5,,,,,,,,Move samples,,,,,,,,
Activity,StartTime [ISO8601],Duration [s],Calories,Distance [m],Feeling,HrAvg,SpeedAvg [km/h],TE,AscentAltitude,AscentTime,DescentAltitude,DescentTime,FlatTime,HighAltitude,LowAltitude,HrMin,HrPeak,TemperatureAvg,SampleInterval,Device,Time,MarkType,Notes,Duration,Activity,Ascent,Descent,Time,MarkType,Notes,Duration,Activity,Ascent,Descent,Time,MarkType,Notes,Duration,Activity,Ascent,AvgHr,Descent,Time,MarkType,Notes,Duration,Activity,Ascent,AvgHr,Descent,Time,MarkType,Notes,Duration,Activity,Ascent,AvgHr,Descent,LocalTime,Altitude,HeartRate,SeaLevelPressure,Temperature,VerticalSpeed,Epoc,,IBI
Boxing,2019-02-25T05:32:09.317,4941.983,1358,0,4,160,0,4.3,9.2,130,8.8,102,4710,91.6,84.8,109,195,21.1,1,Suunto Spartan Ultra,2019-02-25T05:32:09.317,8,,0,Unspecified sport,0,0,2019-02-25T05:32:09.317,1,,0,Unspecified sport,0,0,2019-02-25T05:52:39.29,2,,1229.974,Boxing,6,170,7,2019-02-25T05:53:16.587,1,,37.295,Boxing,0,183,0,2019-02-25T06:55:08.623,2,,3712.038,Boxing,3,156,6,2019-02-25T05:32:16.829,91.2,127,1026.77,0,0,0,,198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:17.001,91.2,127,1026.77,0,0,0,,480
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:18.001,91.2,127,1026.77,22,0,0,,467
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:19,91.2,127,1026.77,22,0,0,,473
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:20,91.2,129,1026.77,22,0,0,,470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:21,91.2,132,1026.77,22,0,0,,474
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:22.001,91.2,133,1026.77,22.1,0,0,,470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:23,91.2,135,1026.77,22.1,0,0,,469
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:24,91.2,138,1026.77,22.1,0,0,,466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:25,91.2,138,1026.77,22.1,0,0.03419904,,444
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:26,91.2,138,1026.77,22.1,0,0.2,,448
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:27,91.2,138,1026.77,22.1,0,0.2,,445
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:28,91.2,138,1026.77,22.1,0,0.2,,444
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:29,91.2,139,1026.77,22.1,0,0.2,,444
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:30,91.2,140,1026.77,22.1,0,0.2,,440
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:31,91.2,142,1026.77,22.1,0,0.2,,439
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:32,91.2,143,1026.77,22.1,0,0.2,,437
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:33,91.2,145,1026.77,22.1,0,0.2,,431
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:34,91.2,146,1026.72,22.1,0,0.2,,428
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:35,91.2,147,1026.72,22.1,0,0.2683981,,435
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:36,91.2,149,1026.72,22.2,0,0.6,,432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:37,91.2,151,1026.72,22.2,0,0.6,,432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:38,91.2,152,1026.72,22.2,0,0.6,,430
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:39,91.2,153,1026.72,22.2,0,0.6,,431
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:40,91.2,154,1026.72,22.2,0,0.6,,433
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:41,91.2,156,1026.72,22.2,0,0.6,,437
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:42.003,91.2,158,1026.72,22.2,0,0.6,,440
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:43.001,91.2,160,1026.72,22.2,0,0.6,,432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:44.001,91.2,161,1026.72,22.2,0,0.6,,433
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:45,91.2,163,1026.72,22.2,0,0.7709952,,432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:46,91.2,164,1026.72,22.2,0,1.6,,428
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:47,91.2,164,1026.72,22.2,0,1.6,,426
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:48,91.2,164,1026.72,22.2,0,1.6,,422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:49,91.2,165,1026.72,22.2,0,1.6,,419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:50,91.2,166,1026.72,22.2,0,1.6,,420
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:51,91.2,167,1026.72,22.2,0,1.6,,417
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:52.001,91.2,169,1026.72,22.2,0,1.6,,412
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:53,91.2,169,1026.72,22.2,0,1.6,,412
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:54,91.2,169,1026.72,22.2,0,1.6,,411
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:55,91.2,169,1026.72,22.2,0,1.770995,,410
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:56,91.2,168,1026.72,22.2,0,2.6,,408
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:57,91.2,168,1026.72,22.2,0,2.6,,409
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:58,91.2,168,1026.72,22.2,0,2.6,,409
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:32:59,91.2,168,1026.72,22.2,0,2.6,,406
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:00,91.2,167,1026.72,22.2,0,2.6,,408
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25T05:33:01,91.2,166,1026.72,22.2,0,2.6,,404
